Rank,Name,Team,Position,Age,Tier,Trend,Value
1,Justin Jefferson,MIN,WR,25.4,1,0,9999
2,Ja'Marr Chase,CIN,WR,24.7,1,1,9998
3,Bijan Robinson,ATL,RB,22.8,2,3,9039
4,Malik Nabers,NYG,WR,21.3,2,-2,8998
5,Amon-Ra St. Brown,DET,WR,25.1,2,0,8747
6,Jahmyr Gibbs,DET,RB,22.7,2,3,8684
7,CeeDee Lamb,DAL,WR,25.6,2,-3,8486
8,Brock Bowers,LVR,TE,21.9,3,2,8166
9,Nico Collins,HOU,WR,25.7,3,-1,8128
10,Marvin Harrison Jr.,ARI,WR,22.3,4,-3,7761
11,Lamar Jackson,BAL,QB,27.9,4,7,7757
12,Puka Nacua,LAR,WR,23.5,4,5,7702
13,Saquon Barkley,PHI,RB,27.8,4,6,7603
14,Breece Hall,NYJ,RB,23.5,4,-3,7525
15,Jayden Daniels,WAS,QB,23.9,4,-2,7474
16,De'Von Achane,MIA,RB,23.1,5,10,7350
17,Josh Allen,BUF,QB,28.5,5,-3,7327
18,A.J. Brown,PHI,WR,27.4,5,-6,7317
19,Garrett Wilson,NYJ,WR,24.3,5,2,7302
20,Drake London,ATL,WR,23.3,5,-5,7262
21,Brian Thomas Jr.,JAC,WR,22.1,5,-5,7181
22,Kyren Williams,LAR,RB,24.2,5,1,7095
23,2025 Early 1st,FA,PICK,N/A,5,-3,7066
24,Kenneth Walker III,SEA,RB,24.1,5,-2,6950
25,Jonathan Taylor,IND,RB,25.8,6,0,6667
26,Christian McCaffrey,SFO,RB,28.4,6,14,6617
27,Trey McBride,ARI,TE,25.0,6,2,6588
28,Jalen Hurts,PHI,QB,26.3,7,14,6444
29,George Pickens,PIT,WR,23.7,7,42,6412
30,DK Metcalf,SEA,WR,26.9,8,-2,6301
31,Jaxon Smith-Njigba,SEA,WR,22.8,8,15,6289
32,2026 Early 1st,FA,PICK,N/A,8,1,6281
34,Zay Flowers,BAL,WR,24.2,8,2,6221
33,James Cook,BUF,RB,25.2,8,1,6221
35,Rashee Rice,KCC,WR,24.6,8,-4,6183
36,Derrick Henry,BAL,RB,30.9,8,9,6164
37,DeVonta Smith,PHI,WR,26.0,8,-7,6153
38,2025 Mid 1st,FA,PICK,N/A,8,1,6112
39,Jayden Reed,GBP,WR,24.6,8,-15,6112
40,Joe Burrow,CIN,QB,27.9,8,12,6099
41,Rome Odunze,CHI,WR,22.5,9,-6,5997
42,C.J. Stroud,HOU,QB,23.1,9,-15,5986
43,Sam LaPorta,DET,TE,23.8,9,-11,5983
44,Ladd McConkey,LAC,WR,23.0,9,22,5923
45,Tee Higgins,CIN,WR,25.8,10,-8,5831
46,2027 Early 1st,FA,PICK,N/A,10,3,5798
47,Joe Mixon,HOU,RB,28.3,10,28,5739
48,Jordan Love,GBP,QB,26.0,10,2,5668
49,Isiah Pacheco,KCC,RB,25.7,10,10,5662
50,Tyreek Hill,MIA,WR,30.7,10,-6,5656
